Date,Oil_Price,Stock_Index,Gold_Price,CO2_Emissions,Inflation,Exchange_Rate,Conflict_Intensity,Event_Flag,Market_Volatility_Measure,Oil_Return,Oil_Shock,Oil_Lag_3,Oil_Lag_5,Conflict_Lag_7,Environmental_Impact_Score,Oil_Rolling_Mean,Conflict_Smoothing,Is_Event_Day,Event_Active_Window
2025-01-01,47.619998931884766,3700.64990234375,1944.699951171875,35.04967141530112,3.0057707212718054,42046.38147718185,15.312624596215725,None,38.97148827836854,0.0,0,47.619998931884766,47.619998931884766,15.312624596215725,100.44568396269035,48.83857127598354,6.336925240239537,0,0.0
2025-01-02,47.619998931884766,3700.64990234375,1944.699951171875,35.00922908760119,3.0037402674113753,42058.97877147221,0.0,None,38.97148827836854,0.0,0,47.619998931884766,47.619998931884766,15.312624596215725,100.32978395270939,48.83857127598354,6.336925240239537,0,0.0
2025-01-03,47.619998931884766,3700.64990234375,1944.699951171875,35.1108676322982,3.0074517261450886,42105.61077533299,5.12109728336379,None,38.97148827836854,0.0,0,47.619998931884766,47.619998931884766,15.312624596215725,100.62106066734948,48.83857127598354,6.336925240239537,0,0.0
2025-01-04,47.619998931884766,3700.64990234375,1944.699951171875,35.22142051751789,3.0014118742779305,42111.574946327564,12.061102777077146,None,38.97148827836854,0.0,0,47.619998931884766,47.619998931884766,15.312624596215725,100.9378841844194,48.83857127598354,6.336925240239537,0,0.0
2025-01-05,49.93000030517578,3726.860107421875,1952.699951171875,35.06868420300928,3.0022777721526595,42125.50670584337,4.6017930437714245,None,38.97148827836854,0.048509059745994954,0,47.619998931884766,47.619998931884766,15.312624596215725,100.50017099176276,48.83857127598354,6.336925240239537,0,0.0
2025-01-06,50.630001068115234,3748.139892578125,1906.9000244140625,35.09161889073778,3.0007209997987387,42035.59667161676,7.26185898124867,None,38.97148827836854,0.014019642672962185,0,47.619998931884766,47.619998931884766,15.312624596215725,100.56589743946786,48.83857127598354,6.336925240239537,0,0.0
2025-01-07,50.83000183105469,3803.7900390625,1912.300048828125,35.29582575944194,3.0123988204153367,42091.413055351884,0.0,None,38.97148827836854,0.003950242123644809,0,47.619998931884766,47.619998931884766,15.312624596215725,101.15111543919824,48.83857127598354,6.336925240239537,0,0.0
2025-01-08,52.2400016784668,3824.679931640625,1834.0999755859375,35.23744652844469,3.0149430288483487,42118.73747914679,7.141535486038243,None,51.69099940567026,0.027739519902017173,0,49.93000030517578,47.619998931884766,15.312624596215725,100.98381167999169,49.4985716683524,5.169626795928467,0,0.0
2025-01-09,52.2400016784668,3824.679931640625,1834.0999755859375,35.13646876040173,3.018319055469101,42178.63798463977,4.064278674977256,None,55.6111210969101,0.0,0,50.630001068115234,47.619998931884766,0.0,100.69442862541409,50.15857206072126,5.750238035210932,0,0.0
2025-01-10,52.2400016784668,3824.679931640625,1834.0999755859375,35.260287837714394,3.0142002858078762,42043.82521573008,9.928649978399314,None,52.732238800619925,0.0,0,50.83000183105469,49.93000030517578,5.12109728336379,101.04927052281542,50.81857245309012,6.437031277358865,0,0.0
2025-01-11,52.25,3799.610107421875,1849.5999755859375,35.18219616623544,3.0093242235671513,42158.24395096912,10.936930257823755,None,39.91155031868615,0.0001913920599532215,0,52.2400016784668,50.630001068115234,12.061102777077146,100.8254746629185,51.48000117710659,6.276435203179809,0,0.0
2025-01-12,53.209999084472656,3801.18994140625,1842.9000244140625,35.204349565256855,3.004998641688955,42161.26446956136,17.947818210093068,None,27.173288910853376,0.018373188219572345,0,52.2400016784668,50.83000183105469,4.6017930437714245,100.88896208596556,51.94857243129185,8.183010226940045,0,0.0
